Date : 2022-10-29 16:30:10
Directory : /Users/user/init/10k1day/1029
Total : 158 files,  -2001 codes, -568 comments, -227 blanks, all -2796 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |          2 |          0 |          0 |          0 |          0 |
| Solidity |        156 |     -2,001 |       -568 |       -227 |     -2,796 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Interface.sol                       | Solidity |        -31 |        -18 |         -7 |        -56 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/IterableMapping.sol                 | Solidity |        -44 |        -12 |        -12 |        -68 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Keccak256.sol                       | Solidity |        -18 |         -7 |         -3 |        -28 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Library.sol                         | Solidity |        -30 |         -8 |         -6 |        -44 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Mapping.sol                         | Solidity |        -25 |        -10 |         -5 |        -40 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/MarkleTree.sol                      | Solidity |        -24 |         -3 |         -5 |        -32 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/NewContract.sol                     | Solidity |        -35 |         -8 |         -6 |        -49 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Payable.sol                         | Solidity |        -14 |         -8 |         -6 |        -28 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/Proxy.sol                           | Solidity |        -23 |         -6 |         -3 |        -32 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/SendingEther.sol                    | Solidity |        -22 |         -9 |         -4 |        -35 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/StableSwap.sol                      | Solidity |       -177 |        -15 |        -15 |       -207 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/StakingReward.sol                   | Solidity |       -129 |        -22 |        -17 |       -168 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/TimeLock.sol                        | Solidity |        -51 |        -15 |         -9 |        -75 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/UpgradeableProxy.sol                | Solidity |       -147 |        -36 |        -25 |       -208 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/Vault.sol                           | Solidity |        -33 |        -11 |        -11 |        -55 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Array.sol                           | Solidity |        -27 |         -8 |        -11 |        -46 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Enum.sol                            | Solidity |        -23 |         -5 |         -7 |        -35 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Liquidity.sol                       | Solidity |        -31 |        -13 |         -9 |        -53 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/MultiSigWallet.sol                  | Solidity |       -146 |        -20 |        -17 |       -183 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Optimal.sol                         | Solidity |        -62 |        -14 |        -13 |        -89 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/UniswapV2FlashSwap.sol              | Solidity |        -58 |        -14 |        -23 |        -95 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/Bits.sol                            | Solidity |       -121 |        -13 |         -5 |       -139 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/BtcParser.sol                       | Solidity |         -3 |         -1 |         -2 |         -6 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/UniswapV3Flash.sol                  | Solidity |        -85 |        -18 |        -21 |       -124 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/UniswapV3Liquidity.sol              | Solidity |       -110 |        -24 |        -24 |       -158 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Bytes.sol                           | Solidity |        -53 |         -7 |         -8 |        -68 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/ExactMath.sol                       | Solidity |        -37 |         -5 |         -5 |        -47 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Memory.sol                          | Solidity |        -57 |         -9 |        -15 |        -81 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Strings.sol                         | Solidity |       -152 |        -11 |        -13 |       -176 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/ViewSPV.sol                         | Solidity |        -60 |        -10 |         -9 |        -79 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/BytesLib.sol                        | Solidity |        -53 |         -7 |         -9 |        -69 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/ValidateSPV.sol                     | Solidity |        -92 |        -11 |         -8 |       -111 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/ViewBTC.sol                         | Solidity |        -79 |        -12 |         -6 |        -97 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2100/TypedMemView.sol                    | Solidity |        -57 |        -14 |         -8 |        -79 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2100/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/ContractWallet.sol                  | Solidity |        -43 |         -8 |        -11 |        -62 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/Data.sol                            | Solidity |        -83 |        -13 |        -11 |       -107 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2300/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/800/BFactory.sol                         | Solidity |         -6 |          0 |         -4 |        -10 |
| /Users/user/init/10k1day/202210/1021-1031/1028/800/sol.sol                              | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/900/IFlashLoanReceiver.sol               | Solidity |        -12 |          0 |         -7 |        -19 |
| /Users/user/init/10k1day/202210/1021-1031/1028/900/sol.sol                              | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/行数.md                                    | Markdown |        -16 |          0 |          0 |        -16 |
| Total                                                                                   |          |     -2,001 |       -568 |       -227 |     -2,796 |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
