Date : 2022-10-29 10:32:40
Directory : /Users/user/init/10k1day/202210/1021-1031/1028
Total : 132 files,  1602 codes, 1012 comments, 46 blanks, all 2660 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Solidity |        131 |      1,586 |      1,012 |         46 |      2,644 |
| Markdown |          1 |         16 |          0 |          0 |         16 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/Vault.sol                           | Solidity |         33 |         11 |         11 |         55 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1600/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Array.sol                           | Solidity |         27 |          8 |         11 |         46 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Enum.sol                            | Solidity |         23 |          5 |          7 |         35 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Liquidity.sol                       | Solidity |         31 |         13 |          9 |         53 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/MultiSigWallet.sol                  | Solidity |        146 |         20 |         17 |        183 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/Optimal.sol                         | Solidity |         62 |         14 |         13 |         89 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/UniswapV2FlashSwap.sol              | Solidity |         58 |         14 |         23 |         95 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1700/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/Bits.sol                            | Solidity |        121 |         13 |          5 |        139 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/BtcParser.sol                       | Solidity |          3 |          1 |          2 |          6 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/UniswapV3Flash.sol                  | Solidity |         85 |         18 |         21 |        124 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/UniswapV3Liquidity.sol              | Solidity |        110 |         24 |         24 |        158 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1800/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Bytes.sol                           | Solidity |         53 |          7 |          8 |         68 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/ExactMath.sol                       | Solidity |         37 |          5 |          5 |         47 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Memory.sol                          | Solidity |         57 |          9 |         15 |         81 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/Strings.sol                         | Solidity |        152 |         11 |         13 |        176 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/ViewSPV.sol                         | Solidity |         60 |         10 |          9 |         79 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1900/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/BytesLib.sol                        | Solidity |         53 |          7 |          9 |         69 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/ValidateSPV.sol                     | Solidity |         92 |         11 |          8 |        111 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/ViewBTC.sol                         | Solidity |         79 |         12 |          6 |         97 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2000/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2100/TypedMemView.sol                    | Solidity |         57 |         14 |          8 |         79 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2100/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
